продукт;сладость;хруст;белки;жиры;углеводы;класс
вишня;8;4;1.1;0.2;16.0;Фрукт
слива;7;5;0.7;0.3;11.4;Фрукт
грейпфрут;4;4;0.8;0.1;10.7;Фрукт
редис;1;9;0.7;0.1;3.4;Овощ
сельдерей;1;8;0.7;0.2;3.0;Овощ
шпинат;1;6;2.9;0.4;3.6;Овощ
фасоль стручковая;2;7;1.8;0.2;7.1;Овощ
баклажан;2;5;1.0;0.2;6.0;Овощ
цветная капуста;2;6;1.9;0.3;5.3;Овощ
горох;4;5;5.4;0.4;14.5;Овощ
индейка;1;3;22.0;3.0;0.0;Протеин
лосось;1;2;20.0;13.0;0.0;Протеин
творог;1;2;18.0;4.0;3.0;Протеин
гречка;2;3;13.0;3.0;72.0;Протеин
чечевица;1;4;25.0;1.0;60.0;Протеин
соевые бобы;2;4;36.0;20.0;30.0;Протеин
фундук;1;7;15.0;61.0;17.0;Протеин
семена подсолнечника;2;6;21.0;47.0;20.0;Протеин
мандарин;8;2;0.8;0.2;13.3;Фрукт
дыня;9;2;0.8;0.2;8.2;Фрукт
абрикос;8;3;1.4;0.4;11.1;Фрукт
хурма;6;4;0.6;0.2;15.0;Фрукт
гранат;5;6;1.7;1.2;18.7;Фрукт
спаржа;1;8;2.2;0.1;3.9;Овощ
руккола;1;6;2.6;0.7;3.7;Овощ
брюссельская капуста;2;9;3.4;0.3;8.9;Овощ
нектарин;7;5;0.9;0.2;15.0;Фрукт
папайя;8;3;0.5;0.3;11.0;Фрукт
гуава;7;4;2.6;1.0;14.0;Фрукт
финик;9;1;2.0;0.2;75.0;Фрукт
инжир;7;3;0.8;0.3;19.0;Фрукт
кокос;4;8;3.3;33.0;15.0;Фрукт
лайм;2;4;0.7;0.2;10.5;Фрукт
помело;5;3;0.8;0.3;10.0;Фрукт
пассифлора;6;4;2.2;0.7;13.0;Фрукт
драконий фрукт;6;5;1.0;0.5;12.0;Фрукт
физалис;5;6;1.5;0.5;11.0;Фрукт
личи;8;2;0.8;0.4;16.0;Фрукт
рамбутан;8;3;0.8;0.4;16.0;Фрукт
тамаринд;8;2;2.8;0.6;57.0;Фрукт
карамбола;6;5;1.0;0.3;7.0;Фрукт
алыча;6;4;0.5;0.2;11.0;Фрукт
айва;4;7;0.6;0.1;15.0;Фрукт
рябина;5;6;1.5;0.5;12.0;Фрукт
облепиха;3;5;1.5;5.0;10.0;Фрукт
черешня;8;3;1.1;0.4;16.0;Фрукт
ежевика;7;4;1.4;0.5;10.0;Фрукт
крыжовник;6;8;0.6;0.2;12.0;Фрукт
смородина;6;5;1.4;0.2;14.0;Фрукт
клюква;3;6;0.4;0.1;12.0;Фрукт
брусника;4;6;0.7;0.5;12.0;Фрукт
шелковица;8;2;1.4;0.4;11.0;Фрукт
барбарис;4;5;0.5;0.2;8.0;Фрукт
артишок;2;7;2.5;0.2;11.0;Овощ
пастернак;3;6;1.2;0.3;18.0;Овощ
кольраби;2;8;1.7;0.1;6.0;Овощ
фенхель;2;7;1.2;0.2;7.0;Овощ
цикорий;2;8;1.0;0.2;4.0;Овощ
эндивий;1;8;1.3;0.2;3.0;Овощ
мангольд;2;7;1.8;0.2;4.0;Овощ
кресс-салат;1;8;2.3;0.1;4.0;Овощ
петрушка;2;7;3.0;0.8;7.0;Овощ
укроп;2;6;2.5;0.5;7.0;Овощ
базилик;2;6;3.0;0.6;4.0;Овощ
кинза;2;6;2.1;0.5;4.0;Овощ
чеснок;3;8;6.4;0.5;33.0;Овощ
батат;4;6;1.6;0.1;20.0;Овощ
топинамбур;3;7;2.0;0.1;16.0;Овощ
редька;1;9;1.4;0.1;4.0;Овощ
белокочанная капуста;1;8;1.3;0.1;5.8;Овощ
брюква;2;7;1.2;0.1;8.0;Овощ
патиссон;2;6;1.0;0.2;4.0;Овощ
савойская капуста;1;7;1.5;0.1;6.0;Овощ
сельдерей корневой;2;6;1.5;0.3;9.0;Овощ
хрен;2;8;4.5;0.4;11.0;Овощ
имбирь;2;7;1.8;0.7;18.0;Овощ
барбарис (овощной);2;6;1.0;0.2;8.0;Овощ
баклажан японский;2;5;1.0;0.2;6.0;Овощ
цукини;2;7;1.2;0.3;3.1;Овощ
бамия;2;6;2.0;0.2;7.0;Овощ
брокколини;1;7;2.8;0.4;7.0;Овощ
кале;1;8;3.0;0.5;9.0;Овощ
баранина;1;3;20.0;15.0;0.0;Протеин
кролик;1;4;22.0;5.0;0.0;Протеин
утка;1;3;19.0;18.0;0.0;Протеин
кальмар;1;5;16.0;1.0;3.0;Протеин
мидии;1;4;12.0;2.0;4.0;Протеин
осьминог;1;4;15.0;2.0;3.0;Протеин
пармезан;1;4;35.0;25.0;3.0;Протеин
моцарелла;1;3;18.0;17.0;2.0;Протеин
киноа;2;6;14.0;6.0;64.0;Протеин
фасоль;2;4;21.0;1.5;62.0;Протеин
нут;2;5;19.0;6.0;61.0;Протеин
семена тыквы;2;8;30.0;49.0;11.0;Протеин
кунжут;2;7;17.0;50.0;23.0;Протеин
горох сухой;3;5;23.0;1.0;60.0;Протеин
соевый творог;2;4;15.0;8.0;3.0;Протеин
семена льна;1;6;18.0;42.0;29.0;Протеин
казеин;1;2;80.0;1.0;5.0;Протеин
тунец консервированный;1;2;25.0;8.0;0.0;Протеин
лосось копченый;1;3;22.0;12.0;0.0;Протеин
креветки вареные;1;4;24.0;1.0;0.5;Протеин
яйцо перепелиное;1;3;13.0;11.0;1.0;Протеин
говяжий фарш;1;3;20.0;15.0;0.0;Протеин
куриная грудка;1;2;31.0;3.5;0.0;Протеин
индейка филе;1;3;22.0;3.0;0.0;Протеин
свиная вырезка;1;2;21.0;7.0;0.0;Протеин
баранина постная;1;3;20.0;10.0;0.0;Протеин
творог 5%;1;2;18.0;5.0;3.0;Протеин
греческий йогурт;2;2;10.0;0.0;4.0;Протеин
сыр рикотта;1;2;11.0;13.0;3.0;Протеин
тофу твердый;2;3;17.0;10.0;2.0;Протеин
темпе;2;4;19.0;11.0;9.0;Протеин
эдамаме;3;5;11.0;5.0;10.0;Протеин
чечевица красная;1;4;25.0;1.0;60.0;Протеин
семена чиа;1;5;17.0;31.0;42.0;Протеин
семена льна;1;6;18.0;42.0;29.0;Протеин
семена тыквы очищенные;2;8;30.0;49.0;11.0;Протеин
кунжут;2;7;17.0;50.0;23.0;Протеин
фейхоа;6;5;1.0;0.6;15.0;Фрукт
морошка;8;3;0.8;0.4;9.0;Фрукт
калина;3;4;0.5;0.2;7.0;Фрукт
боярышник;5;5;1.0;0.3;20.0;Фрукт
ирга;7;4;0.6;0.5;18.0;Фрукт
тернослива;6;5;0.7;0.3;11.0;Фрукт
черемуха;5;4;0.8;0.5;16.0;Фрукт
мушмула;6;5;0.5;0.2;12.0;Фрукт
годжи;7;2;2.5;0.5;50.0;Фрукт
акерола;4;3;0.8;0.3;8.0;Фрукт
репа;2;6;0.9;0.1;6.0;Овощ
пекинская капуста;1;7;1.2;0.1;3.5;Овощ
салат айсберг;1;9;0.7;0.1;1.8;Овощ
бок-чой;1;8;1.5;0.2;3.0;Овощ
водяной шпинат;1;8;2.5;0.3;4.0;Овощ
салат ромэн;1;8;1.0;0.2;3.0;Овощ
шампиньоны;1;4;4.3;0.3;2.6;Овощ
вешенки;1;5;3.3;0.4;3.0;Овощ
